symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Dates,Actual,Forcasted,model
SYNDIBANK_F1,15,20,10,8,15,13,,0.001429129143867098,0.03780382446085446,"['2016-11-30T15:16' '2016-11-30T15:17' '2016-11-30T15:18'
 '2016-11-30T15:19' '2016-11-30T15:20' '2016-11-30T15:21'
 '2016-11-30T15:22' '2016-11-30T15:23' '2016-11-30T15:24'
 '2016-11-30T15:25' '2016-11-30T15:28' '2016-11-30T15:29'
 '2016-11-30T15:30' '2016-11-30T15:31' '2016-11-30T16:31']","[67.7, 67.75, 67.8, 67.75, 67.65, 67.6, 67.6, 67.65, 67.5, 67.55, 67.6, 67.55, 67.65, 67.85, 67.7]","[67.96, 68.01, 67.89, 68.07, 67.71, 67.99, 67.9, 67.76, 67.5, 67.54, 67.52, 67.53, 67.5, 67.55, 67.5]",SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00022513807272367395,0.0150046017182621,['2016-11-30T16:31'],[67.7],[67.81],SVR
AXISBANK,15,20,10,8,15,13,,0.0038078100057391956,0.061707455025622276,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[536.1, 542.25, 548.5, 547.65, 553.3, 551.9, 549.7, 550.0, 539.45, 532.9, 526.85, 523.3, 520.25, 534.45, 538.5]","[529.09, 536.55, 520.91, 503.62, 500.22, 491.38, 492.08, 490.07, 485.71, 493.75, 781.41, 498.36, 505.36, 514.86, 508.95]",SVR
AXISBANK,1,20,10,8,15,13,,0.0011492339953280161,0.033900353911545174,['2018-05-25T00:00'],[538.5],[535.21],SVR
TCS,15,20,10,8,15,13,,0.00495699638946548,0.070405940015495,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[3420.95, 3441.2, 3489.3, 3451.25, 3456.95, 3433.55, 3482.4, 3493.9, 3491.8, 3502.05, 3556.75, 3508.9, 3495.1, 3603.7, 3585.8]","[3039.07, 3088.64, 3061.56, 3100.66, 3081.54, 3593.21, 3650.46, 3457.6, 3722.63, 3982.25, 3607.78, 3807.62, 3628.45, 3571.2, 3084.36]",SVR
TCS,1,20,10,8,15,13,,9.576924566469942e-05,0.009786176253506751,['2018-05-25T00:00'],[3585.8],[3687.95],SVR
NIFTY,15,20,10,8,15,13,,0.0009967253305832825,0.03157095707423648,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[10715.5, 10717.8, 10741.7, 10716.55, 10806.5, 10806.6, 10801.85, 10741.1, 10682.7, 10596.4, 10516.7, 10536.7, 10430.35, 10513.85, 10605.15]","[10676.89, 10705.64, 10652.76, 10747.36, 10725.93, 10724.54, 10795.72, 10806.36, 10796.53, 10617.31, 10745.68, 10922.78, 10822.06, 10773.37, 10738.39]",SVR
NIFTY,1,20,10,8,15,13,,9.333810937868782e-05,0.009661165011461496,['2018-05-25T00:00'],[10605.15],[10504.18],SVR
BANKNIFTY,15,20,10,8,15,13,,0.0008715765390184648,0.029522475150611353,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[25852.05, 26090.5, 26154.45, 26131.0, 26413.15, 26475.15, 26474.0, 26182.15, 26073.8, 25875.6, 25750.8, 25777.7, 25684.95, 26016.8, 26273.55]","[25248.89, 25384.35, 25436.12, 25743.79, 25867.61, 25870.38, 25815.5, 25932.55, 25855.03, 25712.75, 25619.74, 25850.34, 25772.56, 25680.77, 25606.93]",SVR
BANKNIFTY,1,20,10,8,15,13,,7.504512501691084e-05,0.008662858940148503,['2018-05-25T00:00'],[26273.55],[26143.5],SVR
