Date,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI
01-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31250.0,31425.0,31250.0,31309.35,31309.35,96135.0,753282.67,1433225.0,19800.0
01-JAN-2021,FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31350.0,31479.95,31317.35,31361.3,31361.3,1538.0,12073.16,57100.0,2100.0
01-JAN-2021,FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31372.1,31515.65,31372.1,31402.85,31402.85,151.0,1187.16,1925.0,1925.0
04-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31450.25,31599.0,30930.8,31326.55,31326.55,214515.0,1678831.03,1467975.0,34750.0
04-JAN-2021,FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31523.45,31625.0,30999.65,31378.85,31378.85,4518.0,35428.05,58950.0,1850.0
04-JAN-2021,FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31560.0,31668.0,31052.5,31445.1,31445.1,468.0,3677.23,4850.0,2925.0
05-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31130.0,31844.0,31011.1,31798.75,31798.75,215051.0,1691251.66,1799325.0,331350.0
05-JAN-2021,FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31142.9,31896.85,31073.25,31853.55,31853.55,6558.0,51659.97,86800.0,27850.0
05-JAN-2021,FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31280.0,31958.05,31101.75,31903.85,31903.85,780.0,6163.89,6525.0,1675.0
06-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31875.0,32089.7,31662.5,31903.1,31903.1,200962.0,1602467.6,1732375.0,-66950.0
06-JAN-2021,FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31909.55,32132.85,31728.4,31937.9,31937.9,5181.0,41406.93,91225.0,4425.0
06-JAN-2021,FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31891.9,32180.0,31784.8,32000.35,32000.35,961.0,7689.39,9800.0,3275.0
07-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32106.05,32294.95,32034.05,32078.75,32078.75,162051.0,1302483.8,1726675.0,-5700.0
07-JAN-2021,FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32185.0,32340.0,32095.05,32137.2,32137.2,3823.0,30780.02,92325.0,1100.0
07-JAN-2021,FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32195.25,32380.0,32139.6,32198.4,32198.4,657.0,5296.55,10375.0,575.0
08-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32305.1,32337.95,32080.2,32172.7,32172.7,136696.0,1100762.64,1681150.0,-45525.0
08-JAN-2021,FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32325.0,32367.0,32146.75,32229.4,32229.4,4357.0,35153.96,101725.0,9400.0
08-JAN-2021,FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32402.95,32416.8,32200.0,32285.85,32285.85,581.0,4694.02,11525.0,1150.0
11-JAN-2021,FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32480.0,32480.0,31888.0,32096.25,32096.25,163586.0,1311747.86,1566175.0,-114975.0
